,code,name,reservedPerShare,bvps,perundp,trade,total,end
325,725,京东方Ａ,1.11,2.19,0.07,2.78,3.37,-0.59
449,600808,马钢股份,1.08,2.5,0.0,3.0,3.58,-0.58
1940,600428,中远航运,1.99,4.3,1.08,6.81,7.37,-0.56
2401,600888,新疆众和,3.06,5.04,0.69,8.23,8.79,-0.56
944,600548,深高速,1.04,5.77,2.43,8.7,9.24,-0.54
2064,591,太阳能,5.9,8.09,1.23,14.69,15.22,-0.53
744,601318,中国平安,6.71,20.75,9.85,36.78,37.31,-0.53
1542,600425,青松建化,2.32,3.18,-0.24,4.75,5.26,-0.51
1161,601229,上海银行,3.4,19.13,5.36,27.39,27.89,-0.5
1330,601777,力帆股份,3.8,5.41,1.14,9.86,10.35,-0.49
2445,600739,辽宁成大,4.09,11.91,6.13,21.64,22.13,-0.49
393,600050,中国联通,1.31,3.67,1.41,5.93,6.39,-0.46
749,2029,七 匹 狼,2.49,6.75,2.52,11.3,11.76,-0.46
1159,600029,南方航空,1.42,4.52,1.94,7.45,7.88,-0.43
2185,600655,豫园商城,0.58,6.84,4.11,11.12,11.53,-0.41
448,601800,中国交建,1.57,9.65,4.76,15.58,15.98,-0.4
1786,600168,武汉控股,2.13,6.38,2.93,11.04,11.44,-0.4
1312,600190,锦州港,1.33,2.94,0.43,4.36,4.7,-0.34
1964,683,远兴能源,0.44,2.22,0.72,3.06,3.38,-0.32
1020,600886,国投电力,0.95,4.14,2.07,6.86,7.16,-0.3
244,600022,山东钢铁,1.26,1.98,-0.37,2.66,2.87,-0.21
1180,600320,振华重工,1.26,3.45,0.76,5.26,5.47,-0.21
848,39,中集集团,1.05,9.36,5.62,15.83,16.03,-0.2
205,600582,天地科技,0.31,3.27,1.88,5.26,5.46,-0.2
1875,600039,四川路桥,0.38,3.0,1.36,4.56,4.74,-0.18
2039,600790,轻纺城,1.59,4.42,1.01,6.84,7.02,-0.18
734,601179,中国西电,2.25,3.61,0.31,6.02,6.17,-0.15
2426,600984,建设机械,4.38,5.0,-0.42,8.81,8.96,-0.15
331,601678,滨化股份,1.07,4.01,1.6,6.55,6.68,-0.13
1704,959,首钢股份,3.8,4.65,-1.48,6.84,6.97,-0.13
2089,767,漳泽电力,1.01,2.57,0.48,3.95,4.06,-0.11
138,937,冀中能源,1.18,5.25,2.55,8.88,8.98,-0.1
1820,729,燕京啤酒,1.63,4.65,1.42,7.61,7.7,-0.09
290,600755,厦门国贸,1.08,5.28,2.73,9.02,9.09,-0.07
2215,600839,四川长虹,0.85,2.73,0.88,4.39,4.46,-0.07
1103,601000,唐山港,0.47,2.73,1.12,4.27,4.32,-0.05
1893,552,靖远煤电,0.8,2.71,0.69,4.16,4.2,-0.04
1515,600704,物产中大,1.9,6.76,2.06,10.69,10.72,-0.03
2259,619,海螺型材,1.22,6.9,3.97,12.07,12.09,-0.02
1316,601788,光大证券,5.1,10.13,2.35,17.58,17.58,-3.5527136788e-15
2915,2092,中泰化学,4.32,7.1,0.95,12.37,12.37,0.0
266,876,新 希 望,0.52,4.85,3.05,8.44,8.42,0.02
1830,521,美菱电器,1.37,4.58,0.9,6.88,6.85,0.03
1213,601258,庞大集团,0.54,1.91,0.37,2.86,2.82,0.04
622,600170,上海建工,0.4,3.17,1.23,4.86,4.8,0.06
238,89,深圳机场,1.37,5.13,2.41,8.99,8.91,0.08
963,600239,云南城投,1.73,3.57,0.62,6.01,5.92,0.09
1078,600368,五洲交通,0.7,3.67,1.54,6.0,5.91,0.09
1814,789,万年青,0.45,4.47,2.77,7.81,7.69,0.12
192,601618,中国中冶,0.94,3.26,0.78,5.11,4.98,0.13
153,600231,凌钢股份,0.18,2.02,0.61,2.96,2.81,0.15
1338,601688,华泰证券,6.4,11.47,2.3,20.36,20.17,0.19
2159,600322,天房发展,1.99,3.86,0.6,6.64,6.45,0.19
2264,850,华茂股份,0.06,4.84,1.51,6.62,6.41,0.21
925,603167,渤海轮渡,2.21,6.21,2.59,11.22,11.01,0.21
2191,600586,金晶科技,1.33,2.75,0.4,4.7,4.48,0.22
2017,600361,华联综超,2.51,4.1,0.38,7.21,6.99,0.22
1307,601168,西部矿业,2.21,4.78,1.27,8.48,8.26,0.22
1832,600658,电子城,3.55,7.16,2.35,13.31,13.06,0.25
2741,780,平庄能源,1.43,3.95,0.8,6.44,6.18,0.26
824,2244,滨江集团,0.75,3.99,2.01,7.02,6.75,0.27
531,2146,荣盛发展,1.07,4.99,2.21,8.57,8.27,0.3
703,600150,中国船舶,3.35,12.42,7.61,23.68,23.38,0.3
1079,667,美好置业,0.6,2.39,0.69,4.01,3.68,0.33
1185,43,中航地产,0.83,5.84,3.59,10.59,10.26,0.33
1741,543,皖能电力,1.12,5.13,1.73,8.32,7.98,0.34
1486,601008,连云港,1.59,3.16,0.43,5.52,5.18,0.34
686,600691,阳煤化工,1.68,2.19,-0.53,3.69,3.34,0.35
1308,600837,海通证券,4.9,9.4,2.3,16.96,16.6,0.36
246,600098,广州发展,1.4,5.6,2.16,9.53,9.16,0.37
1572,600115,东方航空,1.85,3.48,0.8,6.5,6.13,0.37
640,601669,中国电建,0.92,4.35,1.96,7.61,7.23,0.38
1413,600919,江苏银行,1.39,6.98,2.3,11.12,10.67,0.45
2673,600175,美都能源,1.81,3.02,0.17,5.45,5.0,0.45
2776,159,国际实业,0.78,4.53,2.52,8.3,7.83,0.47
1418,600761,安徽合力,0.9,6.84,4.14,12.36,11.88,0.48
1978,600982,宁波热电,1.4,3.26,0.6,5.74,5.26,0.48
197,600748,上实发展,1.93,4.8,1.75,8.97,8.48,0.49
1541,600426,华鲁恒升,1.9,6.36,3.06,11.81,11.32,0.49
2101,2433,太安堂,3.83,5.92,1.06,11.34,10.81,0.53
1701,979,中弘股份,0.46,1.64,0.17,2.81,2.27,0.54
1500,600810,神马股份,4.07,5.57,-0.04,10.15,9.6,0.55
1017,600567,山鹰纸业,0.94,1.81,0.12,3.42,2.87,0.55
415,600533,栖霞建设,0.99,3.76,0.83,6.13,5.58,0.55
721,600743,华远地产,0.53,2.7,1.05,4.87,4.28,0.59
2016,600215,长春经开,2.1,5.23,1.7,9.64,9.03,0.61
464,903,云内动力,2.3,4.7,1.07,8.69,8.07,0.62
1474,601991,大唐发电,0.81,2.96,-0.42,3.98,3.35,0.63
1002,600208,新湖中宝,0.89,2.67,0.77,4.97,4.33,0.64
2253,600267,海正药业,3.78,7.13,2.0,13.56,12.91,0.65
662,600064,南京高科,0.56,12.41,3.97,17.61,16.94,0.67
1097,600185,格力地产,0.52,3.43,1.66,6.28,5.61,0.67
628,581,威孚高科,3.37,12.41,7.42,23.88,23.2,0.68
