,code,trade
692,600545,12.17
693,600543,17.92
694,600540,8.16
695,600538,12.83
696,600537,7.69
697,600536,31.42
698,600535,40.86
699,600533,6.13
700,600532,17.31
701,600531,9.73
702,600530,8.6
703,600529,20.81
704,600528,15.08
705,600527,7.0
706,600526,13.24
707,600525,13.9
708,600523,24.35
709,600522,11.1
710,600521,23.69
711,600519,316.89
712,600518,17.57
713,600517,10.77
714,600516,10.68
715,600515,12.95
716,600513,17.5
717,600512,5.19
718,600511,31.41
719,600510,9.23
720,600509,8.04
721,600508,11.23
722,600507,6.86
723,600506,31.51
724,600505,11.06
725,600503,9.59
726,600502,9.84
727,600501,18.63
728,600500,11.49
729,600499,8.8
730,600498,27.05
731,600497,8.42
732,600496,4.62
733,600495,8.09
734,600493,16.55
735,600491,11.69
736,600490,8.74
737,600489,12.72
738,600488,6.51
739,600487,18.88
740,600486,35.85
741,600485,17.52
742,600483,12.31
743,600482,32.4
744,600481,7.16
745,600480,15.01
746,600479,16.65
747,600478,10.85
748,600477,10.07
749,600476,32.47
750,600475,19.84
751,600470,8.3
752,600469,10.72
753,600468,14.06
754,600467,4.49
755,600466,8.29
756,600463,17.02
757,600462,8.51
758,600461,8.03
759,600460,6.75
760,600459,26.33
761,600458,15.78
762,600456,19.6
763,600455,60.89
764,600452,43.13
765,600449,10.5
766,600448,8.1
767,600446,30.56
768,600444,23.11
769,600439,8.68
770,600438,6.23
771,600436,47.19
772,600435,14.68
773,600433,8.8
774,600429,8.46
775,600428,6.81
776,600426,11.81
777,600425,4.75
778,600423,10.35
779,600422,13.63
780,600421,25.73
781,600420,32.15
782,600419,58.52
783,600418,13.14
784,600416,13.53
785,600415,8.42
786,600410,12.79
787,600409,8.35
788,600408,6.07
789,600406,15.39
790,600405,12.02
791,600403,6.03
792,600401,2.42
793,600400,8.37
794,600399,7.5
795,600398,10.98
796,600397,5.44
797,600396,5.52
798,600395,9.65
799,600393,14.35
800,600392,14.6
801,600391,38.62
802,600389,21.31
803,600388,13.2
804,600387,13.41
805,600386,15.22
806,600385,23.85
807,600383,13.82
808,600382,20.25
809,600381,13.5
810,600380,11.09
811,600379,28.98
812,600378,16.57
813,600377,8.96
814,600376,13.53
815,600373,22.61
816,600372,19.35
817,600371,17.46
818,600370,7.5
819,600369,7.91
820,600368,6.0
821,600367,14.68
822,600366,21.85
823,600365,12.45
824,600363,18.1
825,600362,20.67
826,600361,7.21
827,600360,10.18
828,600359,9.93
829,600358,11.18
830,600356,12.96
831,600355,10.56
832,600354,8.8
833,600353,10.42
834,600352,9.42
835,600351,10.42
836,600350,6.81
837,600348,7.82
838,600346,8.33
839,600345,24.1
840,600343,25.69
841,600340,26.86
842,600338,35.85
843,600337,13.72
844,600336,8.02
845,600335,13.1
846,600333,8.78
847,600332,25.91
848,600331,6.36
849,600330,12.44
850,600329,17.91
851,600328,14.03
852,600327,9.95
853,600326,9.09
854,600325,14.09
855,600323,15.07
856,600322,6.64
857,600321,7.75
858,600320,5.26
859,600318,32.86
860,600317,3.7
861,600316,19.25
862,600315,28.57
863,600313,6.81
864,600312,16.49
865,600311,7.0
866,600310,11.59
867,600309,21.05
868,600308,5.52
869,600307,2.98
870,600305,11.79
871,600303,10.26
872,600302,11.27
873,600300,7.61
874,600299,14.26
875,600298,16.97
876,600297,8.65
877,600295,12.01
878,600293,18.14
879,600292,13.16
880,600291,22.4
881,600290,13.28
882,600289,14.58
883,600288,16.48
884,600287,11.35
885,600285,13.2
886,600284,11.74
887,600283,13.43
888,600282,2.98
889,600281,8.05
890,600280,8.74
891,600279,7.47
892,600278,19.45
893,600277,7.01
894,600276,46.61
895,600275,16.78
896,600273,9.81
897,600272,20.6
898,600271,23.1
899,600270,18.1
900,600269,5.04
901,600268,8.55
902,600267,13.56
903,600266,14.27
904,600262,29.39
905,600261,7.92
906,600260,15.0
907,600259,59.97
908,600258,25.44
909,600257,12.03
910,600256,4.5
911,600255,4.4
912,600252,4.9
913,600251,8.37
914,600250,16.91
915,600249,8.34
916,600248,7.45
917,600246,6.26
918,600243,11.6
919,600242,16.97
920,600241,17.1
921,600240,12.26
922,600239,6.01
923,600238,13.71
924,600237,8.94
925,600236,6.63
926,600235,12.14
927,600233,38.03
928,600232,12.46
929,600231,2.96
930,600229,12.57
931,600228,14.43
932,600227,6.89
933,600226,10.59
934,600225,6.64
935,600223,5.88
936,600222,9.51
937,600221,3.35
938,600220,4.68
939,600219,3.48
940,600218,11.48
941,600217,8.41
942,600216,13.82
943,600215,9.64
944,600213,15.63
945,600211,53.67
946,600210,5.71
947,600209,11.13
948,600208,4.97
949,600207,10.21
950,600206,10.95
951,600203,12.57
952,600202,12.27
953,600201,35.92
954,600200,18.99
955,600199,10.03
956,600198,18.07
957,600197,14.89
958,600196,24.25
959,600195,20.97
960,600193,11.99
961,600192,9.92
962,600191,16.15
963,600190,4.36
964,600189,12.05
965,600188,12.66
966,600187,6.49
967,600186,5.56
968,600185,6.28
969,600184,22.88
970,600183,11.6
971,600182,35.41
972,600180,15.05
973,600179,15.23
974,600178,12.32
975,600177,14.97
976,600176,11.46
977,600175,5.45
978,600173,8.55
979,600172,19.13
980,600171,15.34
981,600170,4.86
982,600169,4.4
983,600168,11.04
984,600167,17.23
985,600166,3.33
986,600165,12.46
987,600163,5.78
988,600162,4.53
989,600161,39.4
990,600160,10.96
991,600159,5.7
992,600158,20.19
993,600157,4.5
994,600156,11.7
995,600155,17.28
996,600153,11.7
997,600152,12.5
998,600151,10.97
999,600150,23.68
1000,600149,30.01
1001,600148,29.59
1002,600146,34.97
1003,600143,7.44
1004,600141,16.67
1005,600139,12.41
1006,600138,24.08
1007,600137,45.43
1008,600136,20.36
1009,600135,15.39
1010,600133,9.13
1011,600132,18.13
1012,600131,12.95
1013,600130,9.76
1014,600129,19.69
1015,600128,15.98
1016,600127,6.95
1017,600126,9.04
1018,600125,8.02
1019,600123,8.14
1020,600122,12.22
1021,600121,5.85
1022,600120,30.19
1023,600119,22.74
1024,600118,33.43
1025,600117,5.91
1026,600116,9.32
1027,600115,6.5
1028,600114,18.52
1029,600113,19.83
1030,600112,12.3
1031,600111,13.26
1032,600110,10.75
1033,600109,14.45
1034,600108,5.99
1035,600107,19.46
1036,600106,7.26
1037,600105,11.17
1038,600104,24.94
1039,600103,6.37
1040,600101,13.17
1041,600100,14.8
1042,600099,13.84
1043,600098,9.53
1044,600097,20.36
1045,600096,9.22
1046,600095,12.5
1047,600094,9.22
1048,600093,15.34
1049,600090,12.75
1050,600089,9.41
1051,600088,23.9
1052,600086,10.89
1053,600085,34.25
1054,600084,12.12
1055,600083,24.74
1056,600082,6.99
1057,600081,16.43
1058,600080,13.48
1059,600079,20.06
1060,600078,7.46
1061,600077,6.08
1062,600076,12.41
1063,600075,13.37
1064,600074,15.22
1065,600073,11.85
1066,600072,15.3
1067,600071,30.29
1068,600070,13.9
1069,600069,10.54
1070,600068,9.69
1071,600067,7.57
1072,600066,20.76
1073,600064,17.61
1074,600063,4.79
1075,600062,22.68
1076,600061,17.0
1077,600060,18.28
1078,600059,10.35
1079,600058,17.58
1080,600057,11.35
1081,600056,19.26
1082,600055,19.35
1083,600054,16.54
1084,600053,44.98
1085,600052,7.42
1086,600051,13.43
1087,600050,5.93
1088,600048,10.06
1089,600039,4.56
1090,600038,44.62
1091,600037,17.01
1092,600036,18.99
1093,600035,5.73
1094,600033,3.62
1095,600031,6.61
1096,600030,17.67
1097,600029,7.45
1098,600028,5.1
1099,600027,5.13
1100,600026,7.4
1101,600023,5.57
1102,600022,2.66
1103,600021,11.73
1104,600020,4.69
1105,600019,6.31
1106,600018,5.3
1107,600017,4.19
1108,600016,9.41
1109,600015,12.04
1110,600012,17.45
1111,600011,7.39
1112,600010,3.0
1113,600009,27.04
1114,600008,4.41
1115,600007,19.82
1116,600006,7.5
1117,600005,3.43
1118,600004,15.0
1119,600000,17.09
1120,300569,59.86
1121,300567,38.18
1122,300566,46.1
1123,300565,16.82
1124,300563,30.0
1125,300562,43.88
1126,300561,66.63
1127,300560,82.17
1128,300559,93.5
1129,300558,96.05
1130,300557,111.31
1131,300556,33.37
1132,300555,85.58
1133,300553,120.77
1134,300552,79.3
1135,300551,90.06
1136,300550,93.78
1137,300549,94.85
1138,300548,106.76
1139,300547,122.89
1140,300546,151.27
1141,300545,100.21
1142,300543,163.7
1143,300542,73.0
1144,300541,71.4
1145,300540,74.75
1146,300539,56.83
1147,300538,105.48
1148,300537,0.0
1149,300536,63.01
1150,300535,111.0
1151,300534,85.77
1152,300533,166.2
1153,300532,113.99
1154,300531,157.87
1155,300530,92.57
1156,300529,59.5
1157,300528,40.58
1158,300527,33.65
1159,300526,102.07
1160,300525,103.55
1161,300523,149.28
1162,300522,136.6
1163,300521,79.41
1164,300520,115.34
1165,300519,110.19
1166,300518,141.55
1167,300517,62.8
1168,300516,126.6
